latitude,longitude,elevation_m,temperature_C,humidity_percent,rainfall_mm_day,windspeed_mps,soil_type,soil_pH,soil_moisture_percent,organic_carbon_percent,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,bulk_density_gcm3,drainage,ndvi,canopy_cover_percent,burn_severity,fire_frequency_5yr,deforestation_percent,native_species_suitability,carbon_sequestration_tCO2_ha,recommended_reforestation_method,recommended_species
2.02904,-57.901759,246.7,22.33,100.0,5.38,0.21,Ultisol,5.34,65.5,2.74,1193,10,125,1.04,Poor,0.639,65.2,0.243,2,32.4,100.0,179.6,Natural Regeneration,Brazil Nut
1.379408,-62.737225,149.9,34.04,66.5,20.68,0.71,Ultisol,4.9,35.9,2.49,2416,11,53,1.56,Moderate,0.511,52.9,0.498,4,74.5,100.0,161.9,Assisted Natural Regeneration,Andiroba
0.267615,-65.677758,275.4,34.78,66.3,9.58,7.47,Ultisol,5.59,40.6,2.72,767,22,117,1.19,Good,0.562,62.5,0.501,4,44.2,100.0,135.5,Direct Seeding,Açaí Palm
1.804654,-53.302296,341.5,26.6,89.2,9.02,6.53,Spodosol,5.5,61.2,1.77,350,17,90,1.18,Moderate,0.519,50.4,0.256,1,38.9,100.0,147.2,Agroforestry,Rubber Tree
1.938354,-53.497575,109.5,23.39,97.3,67.29,7.02,Inceptisol,6.76,80.0,1.69,1527,38,75,1.28,Good,0.641,71.5,0.362,2,30.6,100.0,166.5,Agroforestry,Rubber Tree
0.666904,-73.464759,252.0,30.56,83.7,30.0,3.51,Spodosol,4.96,65.9,4.55,2290,18,73,1.26,Moderate,0.84,68.4,0.1,0,18.1,100.0,249.9,Natural Regeneration,Brazil Nut
1.696107,-59.371877,326.4,22.39,100.0,15.56,5.73,Oxisol,5.83,67.5,1.6,1009,36,88,1.31,Good,0.588,51.5,0.156,1,10.8,100.0,142.3,Agroforestry,Rubber Tree
0.579772,-65.172027,246.5,28.27,86.9,33.88,7.99,Histosol,5.93,69.6,2.16,1956,15,119,1.25,Moderate,0.581,48.8,0.327,2,31.4,100.0,151.2,Agroforestry,Rubber Tree
0.441126,-64.024136,244.8,25.53,86.2,14.95,3.46,Oxisol,5.75,62.4,2.02,1371,30,203,1.11,Good,0.583,54.4,0.343,4,22.9,100.0,142.6,Agroforestry,Rubber Tree
-0.051109,-54.031022,93.8,28.15,79.8,14.02,6.77,Oxisol,5.34,58.8,1.83,1871,13,231,0.95,Moderate,0.512,58.1,0.348,2,46.5,100.0,126.3,Direct Seeding,Açaí Palm
1.021733,-66.563845,196.6,22.24,95.0,14.22,0.63,Oxisol,6.19,70.5,1.85,799,34,59,1.34,Moderate,0.652,68.8,0.38,3,42.2,100.0,154.0,Direct Seeding,Açaí Palm
-3.731159,-51.366829,205.6,22.67,99.5,2.23,4.35,Inceptisol,6.15,61.1,5.79,429,24,151,1.04,Good,0.929,89.1,0.127,1,26.9,100.0,250.0,Natural Regeneration,Brazil Nut
2.046966,-69.688788,251.0,22.21,89.3,7.38,2.67,Histosol,6.69,63.1,2.45,694,5,209,1.32,Good,0.673,60.5,0.236,2,37.2,100.0,171.4,Natural Regeneration,Brazil Nut
1.974748,-58.094662,349.0,30.05,79.8,10.05,4.18,Ultisol,6.74,51.0,2.31,896,37,170,1.38,Good,0.587,68.5,0.229,3,18.6,100.0,141.6,Agroforestry,Rubber Tree
-4.766022,-57.869478,31.1,29.28,88.8,20.12,0.91,Oxisol,4.6,61.0,1.77,368,12,116,1.16,Moderate,0.585,64.0,0.275,3,60.8,100.0,153.3,Assisted Natural Regeneration,Andiroba
1.606534,-67.947316,41.5,25.03,95.8,19.11,2.94,Oxisol,5.83,73.6,5.2,1406,32,87,1.31,Moderate,0.95,98.8,0.175,1,17.9,100.0,250.0,Natural Regeneration,Brazil Nut
-3.969041,-66.205985,45.7,30.41,77.2,18.08,0.61,Oxisol,6.4,64.7,1.85,1683,21,37,1.03,Moderate,0.555,60.7,0.345,3,59.2,100.0,141.4,Direct Seeding,Açaí Palm
-2.319049,-53.964836,265.2,33.49,67.8,8.82,3.62,Oxisol,6.69,45.3,1.33,1273,13,215,1.01,Moderate,0.457,39.0,0.567,3,40.8,90.1,113.5,Direct Seeding,Açaí Palm
0.948066,-55.716674,65.0,25.61,95.0,47.83,3.53,Oxisol,4.4,79.4,6.98,207,5,134,0.99,Good,0.95,100.0,0.0,1,15.3,100.0,250.0,Natural Regeneration,Brazil Nut
-3.713921,-66.101699,225.4,32.82,74.5,17.67,2.64,Entisol,6.66,42.1,4.41,208,16,188,0.93,Good,0.621,64.1,0.252,3,21.7,100.0,188.0,Natural Regeneration,Brazil Nut
1.543736,-61.185043,127.1,30.61,77.2,7.42,7.59,Oxisol,4.63,47.8,5.19,314,12,246,1.32,Good,0.845,87.6,0.135,1,53.2,100.0,248.0,Natural Regeneration,Brazil Nut
1.657073,-72.519673,170.9,22.44,96.0,39.8,0.66,Ultisol,5.6,76.7,6.27,1797,35,114,1.05,Poor,0.95,100.0,0.0,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-0.940258,-68.990099,91.2,26.88,88.2,14.95,6.6,Ultisol,5.83,58.3,1.01,1321,4,232,0.95,Moderate,0.427,28.1,0.405,1,36.3,97.3,101.7,Agroforestry,Rubber Tree
-4.948913,-62.340307,305.8,28.6,82.0,8.55,2.84,Spodosol,6.46,52.9,5.82,392,40,239,1.39,Moderate,0.95,75.2,0.0,1,21.9,100.0,250.0,Natural Regeneration,Brazil Nut
-2.703695,-71.93663,213.4,31.51,80.1,8.91,1.59,Ultisol,6.25,52.4,5.14,1348,33,218,1.0,Moderate,0.86,80.5,0.073,0,6.1,100.0,243.2,Natural Regeneration,Brazil Nut
-0.064585,-53.760023,331.7,25.73,96.9,3.77,2.18,Oxisol,6.62,64.0,3.0,1718,30,73,1.32,Poor,0.654,66.0,0.308,3,28.1,100.0,167.3,Agroforestry,Rubber Tree
2.849489,-56.767851,209.6,34.78,61.2,26.68,7.22,Ultisol,6.2,39.6,1.34,539,22,65,1.29,Poor,0.335,38.2,0.492,4,58.8,90.8,72.4,Seedling Plantation,Mahogany
0.054508,-51.352792,60.9,30.9,71.6,5.93,6.6,Oxisol,4.95,53.8,4.32,889,20,68,1.43,Good,0.756,79.0,0.224,1,17.0,100.0,209.8,Natural Regeneration,Brazil Nut
-2.921571,-57.356794,76.4,26.85,94.6,2.43,0.13,Oxisol,4.5,62.6,2.84,1379,35,225,1.45,Poor,0.678,55.2,0.304,2,38.7,100.0,167.8,Agroforestry,Rubber Tree
0.072046,-51.430367,346.4,23.26,97.7,7.59,1.18,Ultisol,4.44,62.9,1.22,412,36,148,1.2,Poor,0.558,49.8,0.376,1,27.2,98.7,131.5,Agroforestry,Rubber Tree
-0.680117,-60.691699,259.4,24.36,88.4,18.44,5.4,Entisol,4.25,60.5,6.6,429,19,151,1.27,Good,0.95,76.7,0.0,0,5.9,100.0,250.0,Natural Regeneration,Brazil Nut
1.238763,-59.594753,36.3,28.34,89.1,14.32,2.54,Spodosol,6.61,53.1,1.28,1426,13,111,1.13,Poor,0.462,48.2,0.403,3,29.4,96.7,100.1,Agroforestry,Rubber Tree
-4.144155,-50.552695,252.2,28.43,85.6,20.55,7.35,Ultisol,5.36,59.9,3.99,2079,16,83,0.93,Moderate,0.814,92.0,0.139,2,15.1,100.0,222.4,Natural Regeneration,Brazil Nut
1.088223,-58.5889,156.0,31.98,86.1,21.2,6.29,Ultisol,6.7,53.0,5.3,1923,11,52,0.91,Poor,0.892,98.1,0.061,2,1.7,100.0,229.7,Natural Regeneration,Brazil Nut
-0.669867,-73.261122,121.4,31.44,75.2,12.62,7.0,Ultisol,6.17,57.7,4.13,1355,22,51,1.46,Moderate,0.813,93.4,0.026,0,2.4,100.0,213.1,Natural Regeneration,Brazil Nut
2.703936,-56.628733,70.8,24.62,99.0,14.55,1.54,Entisol,6.67,69.5,6.9,1143,3,200,0.99,Poor,0.95,95.5,0.041,1,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-2.265023,-52.268751,297.2,29.73,73.4,9.98,1.21,Oxisol,6.43,50.0,4.63,1430,20,119,1.34,Good,0.781,82.6,0.231,1,37.7,100.0,228.3,Natural Regeneration,Brazil Nut
0.060975,-54.906074,41.1,22.27,100.0,21.61,7.46,Oxisol,5.63,62.5,4.51,1141,17,236,1.12,Moderate,0.897,95.4,0.031,1,13.3,100.0,240.0,Natural Regeneration,Brazil Nut
2.456225,-59.988001,115.6,27.18,91.8,5.05,3.23,Oxisol,4.63,50.6,4.78,875,39,41,1.3,Moderate,0.7,68.6,0.198,1,17.0,100.0,218.2,Natural Regeneration,Brazil Nut
-4.179922,-57.888716,121.1,31.93,83.2,7.16,3.33,Oxisol,4.71,47.2,6.84,1966,36,24,0.99,Poor,0.95,83.7,0.0,0,0.4,100.0,250.0,Natural Regeneration,Brazil Nut
2.497828,-50.235397,73.1,27.19,92.6,21.28,5.48,Entisol,5.04,63.0,2.96,1041,36,161,1.29,Good,0.628,59.1,0.373,2,41.6,100.0,149.0,Direct Seeding,Açaí Palm
0.503086,-71.82411,187.7,32.86,72.3,23.61,3.18,Oxisol,4.07,59.9,6.02,1265,6,172,0.92,Moderate,0.93,74.1,0.0,2,0.0,100.0,247.1,Natural Regeneration,Brazil Nut
-4.457304,-57.986124,23.9,34.69,62.4,33.68,7.0,Oxisol,5.87,54.6,1.52,1083,7,152,1.3,Good,0.498,33.3,0.449,0,66.1,98.0,125.0,Assisted Natural Regeneration,Andiroba
-2.592291,-67.198455,119.3,29.89,77.3,13.04,7.67,Entisol,5.55,54.4,4.94,1398,40,205,1.13,Good,0.862,80.9,0.112,1,10.6,100.0,233.3,Natural Regeneration,Brazil Nut
0.665377,-58.63783,328.1,23.89,86.5,18.94,2.66,Inceptisol,4.28,58.3,4.45,1611,15,216,1.08,Moderate,0.826,87.8,0.078,0,22.5,100.0,229.7,Natural Regeneration,Brazil Nut
-4.461195,-59.417034,122.5,26.94,83.1,16.04,1.66,Ultisol,6.31,55.6,4.79,2411,29,23,1.33,Moderate,0.854,77.6,0.057,1,0.0,100.0,237.2,Natural Regeneration,Brazil Nut
-0.342636,-70.317036,139.0,22.12,100.0,11.53,0.6,Oxisol,6.3,67.3,3.66,1646,10,139,1.43,Moderate,0.792,88.6,0.304,4,0.0,100.0,203.9,Agroforestry,Rubber Tree
-2.232936,-69.038081,176.1,29.84,80.2,11.58,1.71,Ultisol,4.33,52.9,5.23,2417,31,61,1.38,Moderate,0.829,83.2,0.207,3,49.0,100.0,232.4,Natural Regeneration,Brazil Nut
-0.032676,-59.08089,205.4,32.68,72.2,28.52,1.12,Oxisol,4.57,55.8,4.99,463,39,159,1.53,Moderate,0.838,82.8,0.023,2,6.2,100.0,215.4,Natural Regeneration,Brazil Nut
-4.634064,-70.922481,286.9,30.19,75.6,12.22,0.23,Inceptisol,4.7,43.2,6.12,1347,24,185,0.94,Good,0.884,90.1,0.086,0,17.6,100.0,250.0,Natural Regeneration,Brazil Nut
1.972294,-67.635659,82.8,32.22,65.6,17.1,0.37,Oxisol,5.47,55.0,6.48,1734,5,126,1.15,Moderate,0.95,100.0,0.112,2,28.3,100.0,250.0,Natural Regeneration,Brazil Nut
2.787912,-53.954107,307.7,32.4,74.9,8.98,4.07,Ultisol,6.65,42.1,2.24,825,36,51,1.56,Good,0.545,50.4,0.35,2,41.1,98.4,149.9,Direct Seeding,Açaí Palm
2.751023,-66.149804,270.0,33.06,74.2,9.58,5.66,Oxisol,5.86,49.6,5.45,1762,26,120,1.28,Moderate,0.945,82.6,0.066,1,12.7,100.0,250.0,Natural Regeneration,Brazil Nut
0.997215,-62.286556,258.5,25.47,86.4,4.16,7.87,Inceptisol,5.91,53.3,4.27,1047,36,56,1.6,Moderate,0.83,81.9,0.148,1,37.6,100.0,222.3,Natural Regeneration,Brazil Nut
-3.95931,-51.412632,48.6,33.33,69.0,6.0,1.25,Spodosol,4.82,47.3,2.77,2487,35,143,1.47,Good,0.596,71.2,0.423,4,33.8,100.0,190.2,Agroforestry,Rubber Tree
1.066106,-68.548422,27.1,30.5,86.5,17.45,5.59,Ultisol,5.75,62.4,2.15,722,4,99,1.12,Moderate,0.555,57.2,0.269,3,0.0,100.0,161.2,Agroforestry,Rubber Tree
-4.803305,-64.648976,216.0,25.77,96.4,9.89,4.43,Oxisol,4.59,68.2,2.44,1403,40,89,1.33,Moderate,0.649,71.3,0.209,1,9.7,100.0,161.5,Natural Regeneration,Brazil Nut
-4.823012,-59.445013,304.8,34.83,60.5,8.49,3.83,Spodosol,5.99,36.5,3.42,539,24,57,0.95,Good,0.631,52.3,0.353,3,62.2,100.0,169.9,Assisted Natural Regeneration,Andiroba
-2.411118,-55.871866,212.9,34.35,68.7,22.14,5.77,Oxisol,4.66,55.8,3.91,465,10,131,1.11,Moderate,0.793,74.7,0.143,0,18.6,100.0,215.7,Natural Regeneration,Brazil Nut
-1.090854,-52.360319,90.4,29.47,88.6,17.14,1.91,Oxisol,4.04,60.4,2.9,1710,25,41,1.52,Good,0.598,62.0,0.439,4,78.0,97.2,168.8,Assisted Natural Regeneration,Andiroba
1.163259,-52.028648,49.9,32.96,71.5,12.85,2.49,Oxisol,5.47,51.4,3.26,1908,22,168,1.47,Moderate,0.617,64.4,0.303,3,26.9,100.0,165.6,Agroforestry,Rubber Tree
0.466363,-55.360638,250.9,25.4,90.2,4.96,3.08,Oxisol,4.83,61.6,6.47,375,26,114,1.57,Poor,0.95,94.6,0.076,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-1.432778,-68.52006,258.2,27.41,91.9,15.07,1.46,Oxisol,5.76,63.4,2.15,945,23,232,1.4,Moderate,0.605,52.1,0.138,0,48.2,100.0,149.4,Natural Regeneration,Brazil Nut
-2.810987,-73.404576,76.9,24.39,99.0,12.86,3.83,Oxisol,6.09,56.9,1.26,842,8,89,1.53,Moderate,0.484,41.3,0.249,3,30.7,96.2,125.4,Agroforestry,Rubber Tree
2.976996,-64.789426,29.3,28.76,87.8,15.87,1.05,Spodosol,6.28,60.3,5.46,844,29,64,1.14,Good,0.95,100.0,0.039,0,12.3,100.0,250.0,Natural Regeneration,Brazil Nut
-1.59055,-70.602828,154.7,28.45,82.6,15.32,2.55,Oxisol,6.75,59.9,3.02,2477,8,89,1.0,Poor,0.66,57.1,0.26,2,12.2,100.0,188.7,Natural Regeneration,Brazil Nut
-1.388904,-56.950696,212.3,24.77,96.4,20.13,0.91,Oxisol,5.56,66.5,2.54,363,36,234,1.38,Poor,0.681,78.3,0.187,3,16.8,100.0,165.2,Natural Regeneration,Brazil Nut
-3.691009,-58.132866,253.0,30.75,85.6,5.31,0.29,Inceptisol,5.35,59.8,6.68,979,19,135,1.26,Good,0.95,87.3,0.027,0,11.2,100.0,250.0,Natural Regeneration,Brazil Nut
1.358476,-72.944681,287.3,23.53,95.9,12.5,2.84,Ultisol,4.69,64.0,3.21,1392,26,35,1.48,Poor,0.691,69.0,0.219,1,19.5,100.0,194.6,Natural Regeneration,Brazil Nut
0.549458,-53.921749,221.5,22.8,96.0,10.9,4.94,Histosol,6.09,67.7,3.52,2473,31,80,1.17,Poor,0.752,61.5,0.091,2,0.0,100.0,209.8,Natural Regeneration,Brazil Nut
-3.233843,-68.030162,56.6,27.0,93.6,10.0,1.22,Histosol,5.35,59.7,4.65,1006,10,170,1.41,Good,0.828,80.0,0.314,3,38.2,100.0,230.6,Agroforestry,Rubber Tree
-4.340952,-63.62655,245.3,27.33,96.9,30.51,7.95,Ultisol,4.92,76.2,3.36,1332,7,128,1.59,Moderate,0.775,78.6,0.143,2,22.3,100.0,204.8,Natural Regeneration,Brazil Nut
0.443994,-57.96959,344.8,26.16,100.0,7.38,2.19,Inceptisol,5.21,60.7,5.96,2455,21,67,0.93,Moderate,0.95,84.9,0.029,1,20.3,100.0,250.0,Natural Regeneration,Brazil Nut
0.23609,-63.693949,318.8,25.35,89.7,15.42,0.18,Oxisol,5.04,60.8,3.69,1695,19,73,1.48,Poor,0.7,68.4,0.184,2,7.4,100.0,206.1,Natural Regeneration,Brazil Nut
-2.813924,-63.409093,307.7,26.4,87.6,6.35,0.22,Oxisol,6.74,49.6,3.31,1202,30,136,1.45,Good,0.583,56.3,0.361,3,33.5,100.0,157.3,Agroforestry,Rubber Tree
2.606908,-72.424928,119.7,24.12,89.5,3.95,5.33,Oxisol,4.63,54.4,4.43,1100,2,159,1.03,Moderate,0.728,75.8,0.186,1,34.5,100.0,211.8,Natural Regeneration,Brazil Nut
-3.791537,-64.365355,267.8,27.24,87.5,12.86,5.36,Ultisol,5.16,58.8,6.57,520,39,158,1.07,Good,0.916,81.6,0.057,0,6.4,100.0,250.0,Natural Regeneration,Brazil Nut
-1.541322,-55.643651,300.9,33.76,65.2,18.18,7.22,Oxisol,4.86,38.7,4.21,1585,27,134,1.6,Poor,0.735,74.2,0.345,2,27.8,100.0,193.3,Agroforestry,Rubber Tree
2.548927,-52.035768,243.8,24.92,90.1,1.62,0.73,Oxisol,4.48,61.7,2.86,1937,10,150,1.33,Moderate,0.61,54.3,0.274,3,31.5,100.0,154.7,Natural Regeneration,Brazil Nut
-1.642181,-64.076069,102.7,30.9,81.3,11.01,3.01,Oxisol,4.84,54.1,3.05,847,5,117,0.94,Moderate,0.71,75.4,0.102,2,2.8,100.0,193.8,Natural Regeneration,Brazil Nut
0.108208,-63.83394,334.8,23.84,97.3,15.17,7.11,Inceptisol,5.37,67.9,2.18,1727,36,148,0.9,Poor,0.703,87.8,0.239,4,8.4,100.0,184.7,Natural Regeneration,Brazil Nut
-1.819245,-57.136949,168.8,26.6,79.4,14.25,6.38,Oxisol,5.77,53.2,4.76,293,34,128,1.53,Good,0.764,70.2,0.059,0,11.4,100.0,223.9,Natural Regeneration,Brazil Nut
-2.806278,-51.373472,62.8,26.18,97.4,15.43,1.87,Inceptisol,5.73,62.1,1.17,2201,18,214,1.1,Good,0.488,43.5,0.392,3,30.2,92.4,128.6,Agroforestry,Rubber Tree
2.871821,-67.590537,56.2,34.18,64.1,21.32,7.12,Spodosol,6.16,36.9,5.12,1780,3,171,1.24,Good,0.694,55.4,0.217,0,37.0,100.0,217.1,Natural Regeneration,Brazil Nut
-1.725328,-63.436539,233.7,27.56,81.3,2.71,5.45,Oxisol,4.2,53.3,6.38,630,11,57,1.11,Moderate,0.91,99.4,0.003,1,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
2.152794,-54.896642,164.4,30.98,71.4,6.22,2.11,Inceptisol,4.88,51.2,4.91,1506,24,181,1.23,Poor,0.798,77.0,0.192,3,19.4,100.0,212.6,Natural Regeneration,Brazil Nut
-3.160363,-59.367354,51.2,29.83,77.1,13.06,0.36,Oxisol,4.99,51.9,6.05,2085,6,30,1.28,Poor,0.95,100.0,0.068,0,15.4,100.0,250.0,Natural Regeneration,Brazil Nut
-3.295162,-71.345928,264.3,23.83,90.9,10.19,3.98,Inceptisol,5.94,52.3,1.51,637,19,155,1.43,Moderate,0.419,43.2,0.626,6,20.5,85.6,93.4,Agroforestry,Rubber Tree
-4.750927,-58.934414,283.8,34.21,65.1,13.75,5.7,Oxisol,4.58,50.1,5.41,1002,4,220,1.16,Good,0.844,79.1,0.239,3,11.4,100.0,245.7,Natural Regeneration,Brazil Nut
0.213335,-69.518089,259.4,26.5,76.4,5.59,2.15,Spodosol,4.6,54.1,5.55,346,23,111,1.37,Moderate,0.876,82.0,0.09,0,0.0,100.0,239.5,Natural Regeneration,Brazil Nut
-2.051789,-61.754818,86.7,22.58,99.2,14.84,1.35,Histosol,4.27,67.0,3.05,2182,21,223,1.04,Good,0.692,68.3,0.137,0,12.5,100.0,181.7,Natural Regeneration,Brazil Nut
1.914866,-61.301522,247.6,25.91,91.4,26.68,0.6,Oxisol,5.49,68.6,5.21,636,2,21,1.06,Moderate,0.919,96.4,0.025,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-1.214321,-52.971119,23.5,26.36,100.0,30.25,6.74,Oxisol,6.03,79.3,3.6,1982,34,197,1.42,Moderate,0.901,72.2,0.037,0,0.0,100.0,222.5,Natural Regeneration,Brazil Nut
2.745547,-62.900137,120.7,23.21,99.4,31.54,0.44,Ultisol,5.95,75.5,5.32,2181,34,28,1.6,Good,0.95,90.4,0.102,3,2.8,100.0,250.0,Natural Regeneration,Brazil Nut
-3.515796,-67.293382,151.6,30.06,77.4,8.72,4.88,Ultisol,6.08,54.0,5.18,301,17,170,1.12,Moderate,0.834,94.6,0.19,3,16.6,100.0,240.4,Natural Regeneration,Brazil Nut
1.948985,-68.456808,295.6,26.51,82.7,10.83,6.11,Histosol,4.47,62.0,2.81,1937,4,247,1.07,Good,0.645,60.9,0.411,3,55.0,100.0,162.8,Direct Seeding,Açaí Palm
1.212775,-53.017955,148.8,30.18,79.1,22.69,6.24,Entisol,5.64,58.5,1.17,574,12,81,1.34,Good,0.447,40.2,0.442,3,44.8,92.8,116.4,Direct Seeding,Açaí Palm
1.167375,-69.895739,23.7,22.09,100.0,5.17,5.23,Entisol,4.26,56.6,5.67,2292,12,31,1.34,Poor,0.922,75.6,0.0,1,0.0,100.0,240.8,Natural Regeneration,Brazil Nut
1.758266,-63.779155,136.3,34.77,65.6,27.74,5.22,Inceptisol,6.71,64.1,2.76,611,15,64,1.52,Moderate,0.662,64.3,0.181,2,0.0,100.0,158.2,Natural Regeneration,Brazil Nut
1.088192,-69.507845,184.6,24.22,94.8,13.27,3.79,Oxisol,4.29,68.6,4.45,687,4,119,1.07,Moderate,0.806,69.1,0.0,1,22.2,100.0,215.5,Natural Regeneration,Brazil Nut
0.009763,-55.440703,333.2,30.57,88.1,10.89,3.33,Spodosol,6.46,63.0,4.75,1145,21,207,1.41,Moderate,0.934,100.0,0.121,1,51.8,100.0,250.0,Natural Regeneration,Brazil Nut
-3.950041,-62.615057,330.5,31.31,74.8,13.61,1.1,Ultisol,4.11,48.3,6.31,366,38,34,1.15,Poor,0.932,88.9,0.122,0,36.1,100.0,249.7,Natural Regeneration,Brazil Nut
-4.739791,-65.572551,79.7,24.23,85.0,0.98,4.28,Oxisol,5.49,52.5,1.17,2314,21,68,1.28,Moderate,0.341,32.6,0.408,1,33.1,92.2,96.5,Seedling Plantation,Mahogany
2.366783,-65.333609,81.1,23.45,100.0,7.22,0.57,Oxisol,6.39,55.9,4.2,1432,12,187,1.15,Moderate,0.76,69.9,0.263,2,27.6,100.0,188.0,Natural Regeneration,Brazil Nut
-0.066797,-53.546859,73.9,23.98,96.6,11.51,3.75,Oxisol,5.78,60.8,4.8,1733,32,78,1.4,Moderate,0.823,79.1,0.131,2,37.2,100.0,246.3,Natural Regeneration,Brazil Nut
1.372298,-60.709425,280.3,25.21,83.4,21.76,5.85,Oxisol,5.38,57.2,4.67,662,2,187,1.39,Good,0.768,91.1,0.075,0,0.0,100.0,207.9,Natural Regeneration,Brazil Nut
-1.147821,-56.771172,22.0,24.19,96.7,14.5,3.54,Ultisol,4.36,61.7,5.55,960,7,241,1.4,Moderate,0.818,85.6,0.172,2,43.8,100.0,227.9,Natural Regeneration,Brazil Nut
-4.061534,-52.471076,62.0,30.76,73.1,30.94,4.07,Ultisol,5.85,48.9,1.37,1533,37,188,1.04,Moderate,0.394,41.8,0.413,1,41.8,90.7,111.7,Direct Seeding,Açaí Palm
-3.998514,-52.3582,197.5,27.47,88.5,24.59,6.74,Oxisol,5.69,56.2,2.38,2324,17,230,1.13,Poor,0.528,54.3,0.373,3,52.0,100.0,155.5,Direct Seeding,Açaí Palm
0.484522,-66.115783,101.7,28.99,92.1,11.61,5.17,Histosol,5.28,63.2,4.84,770,8,140,1.5,Good,0.874,76.0,0.036,1,6.3,100.0,229.2,Natural Regeneration,Brazil Nut
-1.557553,-51.14117,50.5,22.62,97.6,27.94,1.02,Ultisol,4.66,71.6,3.03,1238,3,125,1.09,Moderate,0.759,88.7,0.307,1,51.5,100.0,191.5,Direct Seeding,Açaí Palm
-3.395802,-73.402979,138.8,33.2,77.4,6.33,4.34,Oxisol,4.62,55.2,2.56,380,8,62,1.37,Poor,0.633,47.7,0.369,3,50.5,100.0,151.2,Direct Seeding,Açaí Palm
-1.067244,-64.955947,110.5,24.22,88.3,7.6,2.92,Oxisol,6.72,51.7,3.26,1152,39,193,1.32,Moderate,0.661,59.1,0.307,2,24.2,100.0,168.4,Agroforestry,Rubber Tree
-4.486329,-52.500827,188.7,26.68,80.7,10.71,1.65,Ultisol,6.7,55.0,6.2,1043,6,182,1.35,Good,0.942,88.0,0.0,1,4.5,100.0,250.0,Natural Regeneration,Brazil Nut
-0.344229,-67.408715,343.1,22.93,100.0,5.27,5.18,Ultisol,6.62,61.8,2.28,1169,4,93,1.59,Moderate,0.722,76.5,0.29,3,28.6,100.0,168.8,Natural Regeneration,Brazil Nut
-2.848053,-67.446045,61.0,23.78,97.1,8.45,3.09,Oxisol,5.44,61.8,5.8,1918,23,204,1.32,Good,0.856,86.1,0.116,0,5.4,100.0,250.0,Natural Regeneration,Brazil Nut
1.380473,-66.737065,143.0,30.66,81.5,9.63,6.14,Oxisol,6.77,49.2,3.16,1087,10,213,1.49,Good,0.598,52.8,0.381,2,46.2,99.0,179.7,Direct Seeding,Açaí Palm
-2.517104,-59.304479,327.6,31.0,83.3,21.46,4.69,Oxisol,4.83,49.4,5.02,1333,6,173,1.37,Moderate,0.775,78.7,0.219,2,15.1,100.0,222.9,Natural Regeneration,Brazil Nut
-1.358239,-63.480013,309.4,30.8,75.4,30.01,0.83,Histosol,5.2,57.9,1.87,553,39,197,1.1,Good,0.522,56.9,0.404,4,58.3,100.0,137.1,Direct Seeding,Açaí Palm
-4.907036,-56.558364,150.1,29.18,86.2,22.06,2.8,Oxisol,4.49,56.1,2.0,507,33,236,0.98,Poor,0.555,65.7,0.533,4,47.7,88.1,134.7,Direct Seeding,Açaí Palm
-4.420425,-52.522145,250.7,34.38,72.4,18.22,2.16,Oxisol,5.3,46.4,1.79,361,15,187,1.14,Poor,0.443,43.3,0.513,3,34.8,88.5,121.0,Agroforestry,Rubber Tree
-1.860052,-57.819215,49.0,28.59,77.0,7.47,1.2,Inceptisol,4.52,47.3,6.06,986,28,182,0.9,Moderate,0.914,100.0,0.0,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-1.160489,-69.092799,255.1,27.84,93.0,1.74,6.4,Oxisol,4.19,59.6,5.2,1361,10,187,1.41,Poor,0.95,99.7,0.037,0,12.8,100.0,250.0,Natural Regeneration,Brazil Nut
-0.199836,-51.615634,341.0,25.22,98.5,7.43,3.03,Ultisol,4.03,53.8,6.29,2281,20,231,0.96,Good,0.909,76.7,0.062,0,11.4,100.0,249.8,Natural Regeneration,Brazil Nut
-2.666699,-67.652171,197.4,23.29,90.4,5.1,4.91,Ultisol,5.06,55.4,4.75,1429,28,177,1.42,Moderate,0.871,74.0,0.24,2,31.5,100.0,233.9,Natural Regeneration,Brazil Nut
0.559855,-70.402537,184.5,29.13,83.2,18.42,7.06,Oxisol,6.51,49.6,4.86,2229,10,27,1.39,Moderate,0.768,74.4,0.266,3,20.8,100.0,200.9,Natural Regeneration,Brazil Nut
1.880979,-71.840785,81.8,26.09,88.6,2.5,4.34,Oxisol,5.22,58.7,4.17,1671,34,88,1.19,Poor,0.756,83.9,0.242,3,22.1,100.0,213.2,Natural Regeneration,Brazil Nut
1.238808,-60.47879,229.2,28.81,90.1,25.65,2.06,Ultisol,5.81,72.1,1.35,1321,39,85,1.6,Moderate,0.555,64.8,0.277,3,35.6,100.0,145.0,Agroforestry,Rubber Tree
-4.683049,-71.269701,214.8,24.68,86.2,17.08,6.33,Entisol,6.29,62.4,1.21,343,25,29,1.09,Moderate,0.502,40.3,0.449,4,47.3,93.6,130.8,Direct Seeding,Açaí Palm
